pressure_kpa,T_sat_C,DeltaT_MFB_Berenson_K,T_MFB_Berenson_C,T_MFB_Henry_Cu_C
74.16438356164383,91.45999127952052,68.1250949110225,159.58508619054302,177.97202295796495
74.662100456621,91.63782773247829,68.49066440951621,160.1284921419945,178.55239727419885
75.15981735159816,91.81467960650008,68.85563679279926,160.67031639929934,179.13099662162557
75.65753424657534,91.99055893817518,69.2200160808258,161.210575019001,179.70783922562575
76.15525114155251,92.16547753840837,69.58380624032178,161.74928377873016,180.28294299445858
76.65296803652967,92.3394469981003,69.94701118583254,162.28645818393284,180.85632552690558
77.15068493150685,92.51247869364937,70.30963478074713,162.8221134743965,181.4280041196861
77.64840182648402,92.68458379228179,70.6716808382936,163.35626463057537,181.99799577464307
78.14611872146118,92.85577325721471,71.03315312250827,163.888926379723,182.5663172057134
78.64383561643835,93.02605785266132,71.39405534918266,164.420113201844,183.13298484568995
79.14155251141553,93.19544814868107,71.75439118678398,164.94983933546504,183.6980148527801
79.63926940639269,93.36395452588238,72.11416425735253,165.4781187832349,184.26142311696978
80.13698630136986,93.53158717998292,72.47337813737887,166.00496531736178,184.82322526620345
80.63470319634703,93.698356126232,72.83203635865523,166.53039248488722,185.38343667237726
81.13242009132419,93.86427120370104,73.19014240910938,167.05441361281044,185.94207245716458
81.63013698630137,94.029342079446,73.54769973361671,167.5770418130627,186.49914749766864
82.12785388127854,94.19357825254673,73.90471173479044,168.09828998733718,187.05467643191366
82.6255707762557,94.35698905802775,74.2611817737564,168.61817083178414,187.6086736641815
83.12328767123287,94.51958367066413,74.6171131709056,169.13669684156974,188.16115337019346
83.62100456621005,94.68137110867696,74.97250920663024,169.6538803153072,188.71212950214885
84.1187214611872,94.84236023732245,75.32737312204247,170.16973335936493,189.26161579362196
84.61643835616438,95.0025597723772,75.6817081196752,170.6842678920524,189.80962576432034
85.11415525114155,95.16197828352477,76.03551736416614,171.19749564769091,190.35617272471396
85.61187214611871,95.32062419764571,76.38880398292673,171.70942818057244,190.9012697805359
86.10958904109589,95.47850580201509,76.74157106679557,172.22007686881068,191.44492983716106
86.60730593607306,95.63563124741012,77.09382167067442,172.72945291808452,191.9871656038616
87.10502283105022,95.79200855113123,77.44555881415245,173.23756736528367,192.52798959795453
87.6027397260274,95.94764559993939,77.79678548211464,173.74443108205404,193.06741414883058
88.10045662100457,96.10255015291261,78.14750462533661,174.25005477824922,193.6054514018808
88.59817351598173,96.25672984422368,78.49771916106455,174.75444900528822,194.14211332231486
89.0958904109589,96.41019218584273,78.84743197358553,175.25762415942825,194.67741169888103
89.59360730593608,96.56294457016634,79.1966459147803,175.75959048494664,195.21135814748703
90.09132420091323,96.71499427257578,79.54536380466892,176.2603580772447,195.74396411472873
90.58904109589041,96.86634845392626,79.89358843193861,176.75993688586487,196.2752408813216
91.08675799086757,97.01701416297112,80.24132255446591,177.25833671743703,196.80519956545214
91.58447488584474,97.1669983387198,80.58856889982195,177.75556723854174,197.3338511260342
92.08219178082192,97.3163078127356,80.93533016577096,178.25163797850655,197.8612063658889
92.57990867579908,97.46494931137164,81.28160902075449,178.74655833212614,198.38727593483839
93.07762557077625,97.61292945794958,81.62740810436813,179.2403375623177,198.91207033272835
93.57534246575342,97.76025477488122,81.97273002782639,179.73298480270762,199.43559991236768
94.07305936073058,97.90693168573529,82.31757737441679,180.22450906015206,199.95787488239657
94.57077625570776,98.05296651725183,82.66195269994668,180.7149192171985,200.4789053100872
95.06849315068493,98.19836550130441,83.00585853317901,181.20422403448342,200.99870112406947
95.56621004566209,98.3431347768128,83.34929737625865,181.69243215307145,201.51727211699426
96.06392694063926,98.48728039160738,83.69227170513125,182.17955209673863,202.03462794812867
96.56164383561644,98.6308083042469,84.0347839699521,182.665592274199,202.55077814589006
97.0593607305936,98.7737243857897,84.37683659548625,183.15056098127596,203.0657321103172
